# Lineuparr v1.26.1062103
# Generated: 2026-04-16 15:05:28
# Lineup: US-CA-UK_CustomProvider-Merged_lineup.json
# Category Detail: normal
# Group Prefix: (auto)
# Match Sensitivity: exact
# Quality Ordering: True
# Rate Limiting: none
# M3U Sources: custom, 3-Crystal, 2-Dino, 1-Mega, 4-Lion (all)
# EPG Sources: EPG (all)
# Channel Profile: DirecTV
#
channel_name,channel_number,channel_group,matched_epg_name,matched_tvg_id,epg_source,confidence_score,has_program_data,match_method,status
Billiard TV,253,Merged: Sports,[US] Billiard TV,BilliardTV.us,EPG,100,Yes,exact,Matched
ESPN8: The Ocho,258,Merged: Sports,,,,0,No,,No match
FanDuel TV,259,Merged: Sports,[US] TVG NETWORK,FanDuelTV.us,EPG,100,Fallback,alias,Matched (no programs)
Fight Network,260,Merged: Sports,[US] FIGHT NETWORK,FightNetwork.us,EPG,100,Yes,exact,Matched
FOX Sports,261,Merged: Sports,,,,0,No,,No match
FS1,262,Merged: Sports,[US] FOX SPORTS 1,FoxSports1.us,EPG,100,Yes,alias,Matched
FS2,263,Merged: Sports,[US] FOX SPORTS 2,FoxSports2.us,EPG,100,Yes,alias,Matched
GolfPass,265,Merged: Sports,[US] GOLFPASS,GolfPass.us,EPG,100,Yes,exact,Matched
Pickleball TV,270,Merged: Sports,[US] PICKLEBALL TV,PickleballTV.us,EPG,100,Yes,exact,Matched
Players TV,271,Merged: Sports,,,,0,No,,No match
PokerGO,272,Merged: Sports,[US] POKERGO,PokerGO.us,EPG,100,Yes,exact,Matched
Red Bull TV,275,Merged: Sports,[US] RED BULL TV,RedbullTV.us,EPG,100,Yes,exact,Matched
Sportsman Channel,277,Merged: Sports,[US] SPORTSMAN CHANNEL,SportsmanChannel.us,EPG,100,Yes,exact,Matched
SportsGrid,279,Merged: Sports,[US] SPORTS GRID,SportsGrid.us,EPG,100,Yes,exact,Matched
Tennis Channel 2,283,Merged: Sports,,,,0,No,,No match
TUDN,286,Merged: Sports,[US] TUDN,TUDN.us,EPG,100,Yes,alias,Matched
Willow Sports,287,Merged: Sports,,,,0,No,,No match
beIN Sports,290,Merged: Sports,[US] BEIN SPORTS,beINSports.us,EPG,100,Yes,exact,Matched
Eleven Sports,291,Merged: Sports,,,,0,No,,No match
NHL Center Ice,295,Merged: Sports,,,,0,No,,No match
Willow Cricket,296,Merged: Sports,[US] WILLOW CRICKET HD,Willow.us,EPG,100,Yes,exact,Matched
MUTV,299,Merged: Sports,[UK] MUTV,MUTV.uk6,EPG,100,Yes,exact,Matched
Premier Sports 1,300,Merged: Sports,[UK] PREMIER SPORTS 1,PremierSports1.ie2,EPG,100,Fallback,exact,Matched (no programs)
Premier Sports 2,301,Merged: Sports,[UK] PREMIER SPORTS 2,PremierSports2.ie2,EPG,100,Fallback,exact,Matched (no programs)
Sky Sports +,302,Merged: Sports,,,,0,No,,No match
Sky Sports Action,303,Merged: Sports,[UK] SKY SPORTS ARENA,SkySportsPlus.uk,EPG,100,Fallback,alias,Matched (no programs)
Sky Sports Box Office HD,304,Merged: Sports,[UK] SKY SPORTS BOX OFFICE,SkySportsBoxOffice.uk,EPG,100,Yes,alias,Matched
Sky Sports Cricket,305,Merged: Sports,[UK] SKY SPORTS CRICKET,SkySportsCricket.uk,EPG,100,Yes,exact,Matched
Sky Sports F1,306,Merged: Sports,[UK] SKY SPORTS F1,SkySportsF1.uk,EPG,100,Yes,exact,Matched
Sky Sports Football,307,Merged: Sports,[UK] SKY SPORTS FOOTBALL,SkySportsFootball.uk,EPG,100,Yes,alias,Matched
